GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
CASO_batteries_1,2016,66.4
CASO_batteries_1,2017,45.0
CASO_batteries_1,2018,71.6
CASO_batteries_1,2019,17.3
CASO_batteries_1,2020,280.5
CASO_batteries_1,2021,1403.8
CASO_batteries_1,2022,1710.1
CASO_batteries_1,2023,3121.7
CASO_batteries_1,2024,2162.9
CASO_batteries_1,2026,95.0
CASO_biomass_1,1976,45.0
CASO_biomass_1,1981,1.2000000000000002
CASO_biomass_1,1985,16.1
CASO_biomass_1,1986,16.4
CASO_biomass_1,1987,6.4
CASO_biomass_1,1988,4.300000000000001
CASO_biomass_1,1989,3.6
CASO_biomass_1,1990,27.0
CASO_biomass_1,1993,43.6
CASO_biomass_1,1996,1.0
CASO_biomass_1,2000,8.2
CASO_biomass_1,2001,9.0
CASO_biomass_1,2002,37.2
CASO_biomass_1,2003,10.5
CASO_biomass_1,2004,20.0
CASO_biomass_1,2006,23.799999999999997
CASO_biomass_1,2007,0.6
CASO_biomass_1,2008,1.6
CASO_biomass_1,2009,1.6
CASO_biomass_1,2012,0.9
CASO_biomass_1,2016,1.4
CASO_biomass_1,2017,22.0
CASO_biomass_1,2018,1.0
CASO_biomass_1,2019,5.6
CASO_biomass_1,2021,1.4
CASO_biomass_1,2022,2.2
CASO_biomass_1,2023,4.800000000000001
CASO_biomass_2,1978,26.0
CASO_biomass_2,1983,5.4
CASO_biomass_2,1985,4.6
CASO_biomass_2,1994,3.0
CASO_biomass_2,2000,15.2
CASO_biomass_2,2001,2.4
CASO_biomass_2,2013,1.8
CASO_biomass_2,2018,3.0
CASO_conventional_hydroelectric_1,1909,2.6
CASO_conventional_hydroelectric_1,1913,51.400000000000006
CASO_conventional_hydroelectric_1,1914,22.200000000000003
CASO_conventional_hydroelectric_1,1917,11.0
CASO_conventional_hydroelectric_1,1920,28.9
CASO_conventional_hydroelectric_1,1921,69.2
CASO_conventional_hydroelectric_1,1923,134.6
CASO_conventional_hydroelectric_1,1925,48.7
CASO_conventional_hydroelectric_1,1928,100.0
CASO_conventional_hydroelectric_1,1929,2.3
CASO_conventional_hydroelectric_1,1932,16.0
CASO_conventional_hydroelectric_1,1948,36.0
CASO_conventional_hydroelectric_1,1951,100.0
